Reference;Name;Category;Short description;Size;Color;Structure;Price/UAH;Price/RUB;Price/USD;URL;Images;
 <br />BZ-1531A;Блуза "Alice 2" BZ-1531A;Блузки;Длина по спинке - 60 смДлина рукава - 62 см;42,44,46,48;белый;креп-шифон;199;544;9.65;https://niko-opt.com/bluzki/1643-bluza-alice-2-bz-1531a.html;http://niko-opt.com/5787-large_default/bluza-alice-2-bz-1531a.jpg,http://niko-opt.com/5788-large_default/bluza-alice-2-bz-1531a.jpg;
BZ-1531B;Блуза "Alice 2" BZ-1531B;Блузки;Длина по спинке - 60 смДлина рукава - 62 см;42,44,46,48;голубой;креп-шифон;199;544;9.65;https://niko-opt.com/bluzki/1644-bluza-alice-2-bz-1531b.html;http://niko-opt.com/5789-large_default/bluza-alice-2-bz-1531b.jpg,http://niko-opt.com/5790-large_default/bluza-alice-2-bz-1531b.jpg;
BZ-1531C;Блуза "Alice 2" BZ-1531C;Блузки;Длина по спинке - 60 смДлина рукава - 62 см;42,44,46,48;ментол;креп-шифон;199;544;9.65;https://niko-opt.com/bluzki/1646-bluza-alice-2-bz-1531c.html;http://niko-opt.com/5793-large_default/bluza-alice-2-bz-1531c.jpg,http://niko-opt.com/5794-large_default/bluza-alice-2-bz-1531c.jpg;
BZ-1531D;Блуза "Alice 2" BZ-1531D;Блузки;Длина по спинке - 60 смДлина рукава - 62 см;42,44,46,48;черный;креп-шифон;199;544;9.65;https://niko-opt.com/bluzki/1645-bluza-alice-2-bz-1531d.html;http://niko-opt.com/5791-large_default/bluza-alice-2-bz-1531d.jpg,http://niko-opt.com/5792-large_default/bluza-alice-2-bz-1531d.jpg;
BZ-1507A;Блуза "Alice" BZ-1507A;Блузки;Длина по спинке: 60 смДлина рукава: 26 см;42,44,46,48,50;белый;креп-шифон;190;522;9.26;https://niko-opt.com/bluzki/1604-bluza-alice-bz-1507a.html;http://niko-opt.com/5683-large_default/bluza-alice-bz-1507a.jpg,http://niko-opt.com/5684-large_default/bluza-alice-bz-1507a.jpg,http://niko-opt.com/5685-large_default/bluza-alice-bz-1507a.jpg;
BZ-1507B;Блуза "Alice" BZ-1507B;Блузки;Длина по спинке: 60 смДлина рукава: 26 см;42,44,46,48,50;голубой;креп-шифон;190;522;9.26;https://niko-opt.com/bluzki/1600-bluza-alice-bz-1507b.html;http://niko-opt.com/5673-large_default/bluza-alice-bz-1507b.jpg,http://niko-opt.com/5674-large_default/bluza-alice-bz-1507b.jpg,http://niko-opt.com/5675-large_default/bluza-alice-bz-1507b.jpg;
BZ-1507C;Блуза "Alice" BZ-1507C;Блузки;Длина по спинке: 60 смДлина рукава: 26 см;42,44,46,48,50;ментол;креп-шифон;190;522;9.26;https://niko-opt.com/bluzki/1602-bluza-alice-bz-1507c.html;http://niko-opt.com/5680-large_default/bluza-alice-bz-1507c.jpg,http://niko-opt.com/5681-large_default/bluza-alice-bz-1507c.jpg,http://niko-opt.com/5682-large_default/bluza-alice-bz-1507c.jpg;
BZ-1507D;Блуза "Alice" BZ-1507D;Блузки;Длина по спинке: 60 смДлина рукава: 26 см;42,44,46,48,50;черный;креп-шифон;190;522;9.26;https://niko-opt.com/bluzki/1601-bluza-alice-bz-1507d.html;http://niko-opt.com/5676-large_default/bluza-alice-bz-1507d.jpg,http://niko-opt.com/5677-large_default/bluza-alice-bz-1507d.jpg,http://niko-opt.com/5678-large_default/bluza-alice-bz-1507d.jpg;
BZ-1538A;Блуза "Fiona" BZ-1538A;Блузки;Длина по спинке - 65 смПлечо - 20 см;42,44,46,48;белый;поплин;219;591;10.52;https://niko-opt.com/bluzki/1681-bluza-fiona-bz-1538a.html;http://niko-opt.com/5878-large_default/bluza-fiona-bz-1538a.jpg,http://niko-opt.com/5879-large_default/bluza-fiona-bz-1538a.jpg;
BZ-1484C;Блуза "Flower" BZ-1484C;Блузки;Длина по спинке: 77 смДлина по переду: 60 см;42,44,46,48;розовый;хлопок;242;646;11.52;https://niko-opt.com/bluzki/1560-bluza-flower-bz-1484c.html;http://niko-opt.com/5581-large_default/bluza-flower-bz-1484c.jpg,http://niko-opt.com/5582-large_default/bluza-flower-bz-1484c.jpg,http://niko-opt.com/5583-large_default/bluza-flower-bz-1484c.jpg;
